H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
intermedius	pulcherrimus_DRR107784	purpuratus_SRR7211988	486073	1046507	-0.3656801	-0.3656801	0.003354002	-109.028	
purpuratus_SRR6281818	pulcherrimus_DRR107784	purpuratus_SRR7211988	201366	2514684	-0.8517214	-0.8517214	0.001996355	-426.6382	
pulcherrimus_SRR5767283	pulcherrimus_DRR107784	purpuratus_SRR7211988	132558	160900	-0.09657941	-0.09657941	0.002241175	-43.0932	
droebachiensis	fragilis	purpuratus_SRR6281818	586841	539294	0.0422214	0.0422214	0.002617444	16.13078	
droebachiensis	pallidus	purpuratus_SRR6281818	586218	603074	-0.01417314	-0.01417314	0.001861883	-7.612259	
fragilis	pallidus	purpuratus_SRR6281818	603199	664791	-0.04857452	-0.04857452	0.002833558	-17.14259	
droebachiensis	intermedius	purpuratus_SRR6281818	610475	704487	-0.07149408	-0.07149408	0.001919081	-37.25433	
fragilis	intermedius	purpuratus_SRR6281818	622924	765530	-0.1027085	-0.1027085	0.002716956	-37.80278	
pallidus	intermedius	purpuratus_SRR6281818	595671	675265	-0.06262628	-0.06262628	0.001682992	-37.21128	
droebachiensis	purpuratus_SRR7211988	purpuratus_SRR6281818	2155352	362001	0.7123955	0.7123955	0.003472447	205.1566	
fragilis	purpuratus_SRR7211988	purpuratus_SRR6281818	2199887	393748	0.6963736	0.6963736	0.003672655	189.6104	
pallidus	purpuratus_SRR7211988	purpuratus_SRR6281818	2172542	353784	0.7199221	0.7199221	0.003411662	211.018	
intermedius	purpuratus_SRR7211988	purpuratus_SRR6281818	2274407	351448	0.7323173	0.7323173	0.002945378	248.6327	
droebachiensis	pulcherrimus_SRR5767283	purpuratus_SRR6281818	448288	1073999	-0.4110335	-0.4110335	0.003115466	-131.9332	
fragilis	pulcherrimus_SRR5767283	purpuratus_SRR6281818	471552	1144463	-0.4164015	-0.4164015	0.003181968	-130.8629	
pallidus	pulcherrimus_SRR5767283	purpuratus_SRR6281818	450995	1058180	-0.4023291	-0.4023291	0.003170215	-126.9091	
intermedius	pulcherrimus_SRR5767283	purpuratus_SRR6281818	496003	1034735	-0.3519427	-0.3519427	0.003335505	-105.5141	
purpuratus_SRR7211988	pulcherrimus_SRR5767283	purpuratus_SRR6281818	252523	2556995	-0.8202375	-0.8202375	0.002228668	-368.0394	
droebachiensis	pulcherrimus_DRR107784	purpuratus_SRR6281818	436126	1077648	-0.4237898	-0.4237898	0.003130163	-135.389	
fragilis	pulcherrimus_DRR107784	purpuratus_SRR6281818	446191	1137557	-0.4365379	-0.4365379	0.003209736	-136.0043	
pallidus	pulcherrimus_DRR107784	purpuratus_SRR6281818	423002	1051973	-0.4264282	-0.4264282	0.003193648	-133.5239	
intermedius	pulcherrimus_DRR107784	purpuratus_SRR6281818	464866	1027887	-0.3771696	-0.3771696	0.003384509	-111.44	
purpuratus_SRR7211988	pulcherrimus_DRR107784	purpuratus_SRR6281818	244032	2514684	-0.8230829	-0.8230829	0.002192383	-375.4283	
pulcherrimus_SRR5767283	pulcherrimus_DRR107784	purpuratus_SRR6281818	125685	149943	-0.08800993	-0.08800993	0.002275655	-38.67455	
droebachiensis	fragilis	pulcherrimus_SRR5767283	370869	427906	-0.07140559	-0.07140559	0.00142309	-50.17642	
