H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
depressus	nudus	pulcherrimus_DRR107784	58659	53645	0.04464667	0.04464667	0.003112616	14.34378	
franciscanus	nudus	pulcherrimus_DRR107784	48532	53636	-0.04995693	-0.04995693	0.003351483	-14.90592	
droebachiensis	fragilis	depressus	60155	63058	-0.02356083	-0.02356083	0.00308279	-7.642697	
droebachiensis	pallidus	depressus	66477	64219	0.01727673	0.01727673	0.002841385	6.080391	
fragilis	pallidus	depressus	70028	64942	0.03768245	0.03768245	0.003063344	12.30108	
droebachiensis	intermedius	depressus	74910	73924	0.00662483	0.00662483	0.002709663	2.444891	
fragilis	intermedius	depressus	78148	74377	0.02472382	0.02472382	0.002951841	8.375728	
pallidus	intermedius	depressus	70366	71740	-0.009668839	-0.009668839	0.002848398	-3.394483	
droebachiensis	purpuratus_SRR7211988	depressus	39773	204263	-0.6740399	-0.6740399	0.002423756	-278.0973	
fragilis	purpuratus_SRR7211988	depressus	39369	207911	-0.6815836	-0.6815836	0.002406629	-283.211	
pallidus	purpuratus_SRR7211988	depressus	36761	204387	-0.6951167	-0.6951167	0.002366959	-293.675	
intermedius	purpuratus_SRR7211988	depressus	43016	211271	-0.6616736	-0.6616736	0.002414023	-274.0959	
droebachiensis	purpuratus_SRR6281818	depressus	50001	151013	-0.5025123	-0.5025123	0.003850591	-130.5026	
fragilis	purpuratus_SRR6281818	depressus	50043	151841	-0.5042401	-0.5042401	0.00390982	-128.9676	
pallidus	purpuratus_SRR6281818	depressus	46822	150705	-0.525918	-0.525918	0.003857787	-136.3263	
intermedius	purpuratus_SRR6281818	depressus	53396	157334	-0.4932283	-0.4932283	0.003692075	-133.5911	
purpuratus_SRR7211988	purpuratus_SRR6281818	depressus	90571	23433	0.5889092	0.5889092	0.003210374	183.4394	
droebachiensis	pulcherrimus_SRR5767283	depressus	107973	73762	0.1882466	0.1882466	0.003099033	60.74366	
fragilis	pulcherrimus_SRR5767283	depressus	112124	75523	0.1950524	0.1950524	0.003259042	59.84961	
pallidus	pulcherrimus_SRR5767283	depressus	104527	72972	0.1777756	0.1777756	0.003147444	56.48255	
intermedius	pulcherrimus_SRR5767283	depressus	109365	76183	0.1788324	0.1788324	0.003106259	57.57165	
purpuratus_SRR7211988	pulcherrimus_SRR5767283	depressus	235064	48935	0.6553861	0.6553861	0.002329132	281.3864	
purpuratus_SRR6281818	pulcherrimus_SRR5767283	depressus	185411	57835	0.5244732	0.5244732	0.003397043	154.3911	
droebachiensis	pulcherrimus_DRR107784	depressus	108277	71541	0.2042955	0.2042955	0.003135108	65.16377	
fragilis	pulcherrimus_DRR107784	depressus	111879	72084	0.2163207	0.2163207	0.00326548	66.24468	
pallidus	pulcherrimus_DRR107784	depressus	104292	69579	0.199648	0.199648	0.003237658	61.66433	
intermedius	pulcherrimus_DRR107784	depressus	109065	72652	0.200383	0.200383	0.003227447	62.08716	
purpuratus_SRR7211988	pulcherrimus_DRR107784	depressus	232867	47663	0.6601932	0.6601932	0.0022839	289.064	
purpuratus_SRR6281818	pulcherrimus_DRR107784	depressus	184374	55688	0.5360532	0.5360532	0.003345437	160.2341	
pulcherrimus_SRR5767283	pulcherrimus_DRR107784	depressus	19545	17308	0.06070062	0.06070062	0.005139145	11.81142	
droebachiensis	franciscanus	depressus	318754	45857	0.7484607	0.7484607	0.001992127	375.7092	
fragilis	franciscanus	depressus	324823	46477	0.7496526	0.7496526	0.001920297	390.3837	
pallidus	franciscanus	depressus	315211	44656	0.7518194	0.7518194	0.001943507	386.8365	
intermedius	franciscanus	depressus	318428	46948	0.7430154	0.7430154	0.001987181	373.9043	
purpuratus_SRR7211988	franciscanus	depressus	503426	31585	0.8819277	0.8819277	0.001118533	788.4681	
purpuratus_SRR6281818	franciscanus	depressus	429625	37588	0.8390969	0.8390969	0.001646345	509.6725	
pulcherrimus_SRR5767283	franciscanus	depressus	274601	49097	0.6966493	0.6966493	0.002146263	324.5871	
pulcherrimus_DRR107784	franciscanus	depressus	265188	48458	0.691002	0.691002	0.002237437	308.8364	
droebachiensis	nudus	depressus	304974	51095	0.7130051	0.7130051	0.002047133	348.2944	
fragilis	nudus	depressus	310668	51985	0.7133072	0.7133072	0.002090568	341.2025	
pallidus	nudus	depressus	301569	50019	0.7154681	0.7154681	0.002064192	346.6093	
intermedius	nudus	depressus	304678	52375	0.7066262	0.7066262	0.00208771	338.4695	
purpuratus_SRR7211988	nudus	depressus	477250	35753	0.8606129	0.8606129	0.001240344	693.85	
purpuratus_SRR6281818	nudus	depressus	408170	42343	0.8120232	0.8120232	0.001838113	441.77	
pulcherrimus_SRR5767283	nudus	depressus	263222	54233	0.6583264	0.6583264	0.002200457	299.1771	
pulcherrimus_DRR107784	nudus	depressus	254489	53645	0.6518073	0.6518073	0.002300471	283.3364	
franciscanus	nudus	depressus	64408	76069	-0.08301003	-0.08301003	0.002932868	-28.30336	
droebachiensis	fragilis	franciscanus	70473	73152	-0.01865274	-0.01865274	0.003037279	-6.141267	
droebachiensis	pallidus	franciscanus	77388	73427	0.02626397	0.02626397	0.002727701	9.628608	
fragilis	pallidus	franciscanus	82311	75531	0.04295435	0.04295435	0.003018431	14.23069	
droebachiensis	intermedius	franciscanus	87257	84949	0.01340255	0.01340255	0.002615875	5.123545	
fragilis	intermedius	franciscanus	92349	87200	0.02867741	0.02867741	0.002866059	10.00587	
pallidus	intermedius	franciscanus	81622	83264	-0.009958395	-0.009958395	0.002582155	-3.856623	
droebachiensis	purpuratus_SRR7211988	franciscanus	41267	264466	-0.7300455	-0.7300455	0.002102934	-347.1557	
fragilis	purpuratus_SRR7211988	franciscanus	41049	277566	-0.7423285	-0.7423285	0.002082887	-356.3941	
pallidus	purpuratus_SRR7211988	franciscanus	38135	266699	-0.7497983	-0.7497983	0.002054482	-364.9572	
intermedius	purpuratus_SRR7211988	franciscanus	44983	279409	-0.7226627	-0.7226627	0.002071619	-348.8396	
droebachiensis	purpuratus_SRR6281818	franciscanus	55219	190233	-0.5500627	-0.5500627	0.003810096	-144.3698	
fragilis	purpuratus_SRR6281818	franciscanus	55886	196976	-0.5579723	-0.5579723	0.003863996	-144.4029	
pallidus	purpuratus_SRR6281818	franciscanus	51536	191565	-0.5760116	-0.5760116	0.003758888	-153.2399	
intermedius	purpuratus_SRR6281818	franciscanus	59361	202560	-0.5467259	-0.5467259	0.003598764	-151.9205	
purpuratus_SRR7211988	purpuratus_SRR6281818	franciscanus	123382	26194	0.6497566	0.6497566	0.00299337	217.0653	
droebachiensis	pulcherrimus_SRR5767283	franciscanus	123086	83224	0.1932141	0.1932141	0.003229417	59.82941	
fragilis	pulcherrimus_SRR5767283	franciscanus	128887	86519	0.196689	0.196689	0.003284235	59.88885	
pallidus	pulcherrimus_SRR5767283	franciscanus	118777	82863	0.1781095	0.1781095	0.003213964	55.41739	
intermedius	pulcherrimus_SRR5767283	franciscanus	124550	86837	0.1784074	0.1784074	0.003172349	56.23825	
purpuratus_SRR7211988	pulcherrimus_SRR5767283	franciscanus	295497	51311	0.7040956	0.7040956	0.002119295	332.231	
purpuratus_SRR6281818	pulcherrimus_SRR5767283	franciscanus	228236	63563	0.5643371	0.5643371	0.003415264	165.2397	
droebachiensis	pulcherrimus_DRR107784	franciscanus	124110	79589	0.2185627	0.2185627	0.003252852	67.1911	
fragilis	pulcherrimus_DRR107784	franciscanus	129048	81408	0.2263656	0.2263656	0.003325089	68.07807	
pallidus	pulcherrimus_DRR107784	franciscanus	119038	77868	0.2090845	0.2090845	0.003275557	63.83175	
intermedius	pulcherrimus_DRR107784	franciscanus	124746	81369	0.2104505	0.2104505	0.003266654	64.42386	
purpuratus_SRR7211988	pulcherrimus_DRR107784	franciscanus	294105	49762	0.7105741	0.7105741	0.002062292	344.5556	
purpuratus_SRR6281818	pulcherrimus_DRR107784	franciscanus	227734	60543	0.5799665	0.5799665	0.003270948	177.3084	
pulcherrimus_SRR5767283	pulcherrimus_DRR107784	franciscanus	22807	19251	0.08454991	0.08454991	0.005118604	16.51816	
droebachiensis	depressus	franciscanus	318754	57585	0.6939727	0.6939727	0.002162618	320.8947	
fragilis	depressus	franciscanus	324823	58461	0.6949468	0.6949468	0.002189771	317.3605	
pallidus	depressus	franciscanus	315211	56624	0.6954348	0.6954348	0.0021671	320.9058	
intermedius	depressus	franciscanus	318428	58097	0.6914043	0.6914043	0.002185164	316.4084	
purpuratus_SRR7211988	depressus	franciscanus	503426	41037	0.849257	0.849257	0.001365197	622.0763	
purpuratus_SRR6281818	depressus	franciscanus	429625	48009	0.7989716	0.7989716	0.001905844	419.222	
pulcherrimus_SRR5767283	depressus	franciscanus	274601	58398	0.6492602	0.6492602	0.002209483	293.8517	
pulcherrimus_DRR107784	depressus	franciscanus	265188	57726	0.6424683	0.6424683	0.002260093	284.2663	
droebachiensis	nudus	franciscanus	395604	52652	0.7650807	0.7650807	0.001886425	405.5718	
fragilis	nudus	franciscanus	404939	54344	0.7633529	0.7633529	0.001923056	396.9478	
pallidus	nudus	franciscanus	390446	51967	0.7650747	0.7650747	0.001896373	403.4411	
intermedius	nudus	franciscanus	394895	54219	0.7585513	0.7585513	0.001922868	394.4895	
purpuratus_SRR7211988	nudus	franciscanus	640923	33937	0.8994251	0.8994251	0.001016094	885.1787	
purpuratus_SRR6281818	nudus	franciscanus	541755	42642	0.854065	0.854065	0.001606073	531.7723	
pulcherrimus_SRR5767283	nudus	franciscanus	338638	54046	0.7247354	0.7247354	0.001975403	366.8798	
pulcherrimus_DRR107784	nudus	franciscanus	325703	53636	0.7172134	0.7172134	0.002094981	342.3485	
depressus	nudus	franciscanus	111757	76069	0.1900056	0.1900056	0.002963458	64.11619	
droebachiensis	fragilis	nudus	67682	70634	-0.02134243	-0.02134243	0.00297201	-7.181144	
droebachiensis	pallidus	nudus	74385	71001	0.02327597	0.02327597	0.002771978	8.396882	
fragilis	pallidus	nudus	79174	72683	0.04274416	0.04274416	0.003060511	13.96635	
droebachiensis	intermedius	nudus	83890	81973	0.01155773	0.01155773	0.002628782	4.396611	
fragilis	intermedius	nudus	88416	83653	0.02768076	0.02768076	0.002908216	9.518124	
pallidus	intermedius	nudus	78683	80172	-0.009373328	-0.009373328	0.002756635	-3.400279	
droebachiensis	purpuratus_SRR7211988	nudus	40876	246727	-0.7157471	-0.7157471	0.002170085	-329.8244	
fragilis	purpuratus_SRR7211988	nudus	40686	256900	-0.7265597	-0.7265597	0.002123165	-342.2059	
pallidus	purpuratus_SRR7211988	nudus	37687	248090	-0.7362489	-0.7362489	0.002145285	-343.1939	
