H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
purpuratus_SRR6281818	pulcherrimus_DRR107784	purpuratus_SRR7211988	209717	2661638	-0.8539247	-0.8539247	0.001976714	-431.992	
pulcherrimus_SRR5767283	pulcherrimus_DRR107784	purpuratus_SRR7211988	135930	165145	-0.09703562	-0.09703562	0.002328392	-41.67496	
droebachiensis	fragilis	purpuratus_SRR6281818	613955	563779	0.04260385	0.04260385	0.002561876	16.62994	
droebachiensis	pallidus	purpuratus_SRR6281818	612835	631824	-0.01525639	-0.01525639	0.001870736	-8.155287	
fragilis	pallidus	purpuratus_SRR6281818	631036	697406	-0.04996078	-0.04996078	0.00279546	-17.87211	
droebachiensis	intermedius	purpuratus_SRR6281818	637529	735948	-0.07165682	-0.07165682	0.001954813	-36.65661	
fragilis	intermedius	purpuratus_SRR6281818	653687	801409	-0.1015204	-0.1015204	0.002702752	-37.56188	
pallidus	intermedius	purpuratus_SRR6281818	623075	703163	-0.06038735	-0.06038735	0.00168666	-35.80293	
droebachiensis	purpuratus_SRR7211988	purpuratus_SRR6281818	2300167	362970	0.7274117	0.7274117	0.003358231	216.6056	
fragilis	purpuratus_SRR7211988	purpuratus_SRR6281818	2359287	395043	0.7131477	0.7131477	0.003526361	202.2333	
pallidus	purpuratus_SRR7211988	purpuratus_SRR6281818	2321735	354627	0.7349932	0.7349932	0.003274543	224.4567	
intermedius	purpuratus_SRR7211988	purpuratus_SRR6281818	2431032	352258	0.7468765	0.7468765	0.00283803	263.1673	
droebachiensis	pulcherrimus_SRR5767283	purpuratus_SRR6281818	464300	1119492	-0.4136856	-0.4136856	0.003127888	-132.2572	
fragilis	pulcherrimus_SRR5767283	purpuratus_SRR6281818	490621	1195011	-0.4178789	-0.4178789	0.003193941	-130.8349	
pallidus	pulcherrimus_SRR5767283	purpuratus_SRR6281818	469411	1102753	-0.4028473	-0.4028473	0.003133783	-128.5498	
intermedius	pulcherrimus_SRR5767283	purpuratus_SRR6281818	512757	1078471	-0.3555204	-0.3555204	0.003324937	-106.9255	
purpuratus_SRR7211988	pulcherrimus_SRR5767283	purpuratus_SRR6281818	252234	2713210	-0.8298845	-0.8298845	0.002123442	-390.8205	
droebachiensis	pulcherrimus_DRR107784	purpuratus_SRR6281818	449816	1120320	-0.4270356	-0.4270356	0.00315781	-135.2316	
fragilis	pulcherrimus_DRR107784	purpuratus_SRR6281818	461887	1185219	-0.4391533	-0.4391533	0.003241806	-135.4656	
pallidus	pulcherrimus_DRR107784	purpuratus_SRR6281818	438175	1093240	-0.4277515	-0.4277515	0.003196233	-133.8299	
intermedius	pulcherrimus_DRR107784	purpuratus_SRR6281818	478412	1068515	-0.3814679	-0.3814679	0.003401443	-112.1488	
purpuratus_SRR7211988	pulcherrimus_DRR107784	purpuratus_SRR6281818	243312	2661638	-0.8324846	-0.8324846	0.002085688	-399.1414	
pulcherrimus_SRR5767283	pulcherrimus_DRR107784	purpuratus_SRR6281818	127609	153023	-0.09055988	-0.09055988	0.002334776	-38.78739	
droebachiensis	fragilis	pulcherrimus_SRR5767283	378116	438090	-0.073479	-0.073479	0.001370411	-53.61821	
droebachiensis	pallidus	pulcherrimus_SRR5767283	404289	467999	-0.0730378	-0.0730378	0.001392164	-52.46349	
fragilis	pallidus	pulcherrimus_SRR5767283	433315	436930	-0.004154003	-0.004154003	0.001284612	-3.233664	
droebachiensis	intermedius	pulcherrimus_SRR5767283	462850	522133	-0.06018683	-0.06018683	0.001337539	-44.99818	
fragilis	intermedius	pulcherrimus_SRR5767283	489773	491116	-0.001369166	-0.001369166	0.001235843	-1.10788	
pallidus	intermedius	pulcherrimus_SRR5767283	457248	456163	0.001187855	0.001187855	0.001257823	0.9443741	
droebachiensis	purpuratus_SRR7211988	pulcherrimus_SRR5767283	493800	629282	-0.1206341	-0.1206341	0.001568199	-76.92528	
fragilis	purpuratus_SRR7211988	pulcherrimus_SRR5767283	525566	594988	-0.06195328	-0.06195328	0.001553013	-39.89232	
pallidus	purpuratus_SRR7211988	pulcherrimus_SRR5767283	500529	561738	-0.05762111	-0.05762111	0.001603235	-35.94052	
intermedius	purpuratus_SRR7211988	pulcherrimus_SRR5767283	544741	610597	-0.0570015	-0.0570015	0.001477185	-38.58791	
droebachiensis	purpuratus_SRR6281818	pulcherrimus_SRR5767283	464300	572728	-0.1045565	-0.1045565	0.001483544	-70.47752	
fragilis	purpuratus_SRR6281818	pulcherrimus_SRR5767283	490621	536525	-0.04469082	-0.04469082	0.00144197	-30.9929	
pallidus	purpuratus_SRR6281818	pulcherrimus_SRR5767283	469411	509014	-0.04047628	-0.04047628	0.001499152	-26.99945	
intermedius	purpuratus_SRR6281818	pulcherrimus_SRR5767283	512757	555909	-0.04037931	-0.04037931	0.0013733	-29.40312	
purpuratus_SRR7211988	purpuratus_SRR6281818	pulcherrimus_SRR5767283	252234	225972	0.05491776	0.05491776	0.001974458	27.81409	
